https://www.CryptoDataDownload.com,,,,,,,,,
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1.62567E+12,2021/7/7 14:00,BTC/USDT,34813.22,34874.99,34532.5,34616.6,2215.052981,76850415.36,58585
1.62566E+12,2021/7/7 13:00,BTC/USDT,34853.85,34881.55,34635.43,34813.22,1906.713965,66275133.48,38573
1.62566E+12,2021/7/7 12:00,BTC/USDT,34827.97,35059.09,34714.15,34853.85,3401.799233,118729669.7,55718
1.62566E+12,2021/7/7 11:00,BTC/USDT,34614.56,34989,34559.35,34827.96,2504.024095,87239636.9,47156
1.62565E+12,2021/7/7 10:00,BTC/USDT,34691.91,34734.37,34457.11,34614.57,2011.679332,69613228.57,39323
1.62565E+12,2021/7/7 09:00,BTC/USDT,34790.01,34858,34639.17,34691.91,1700.111608,59065723.94,37972
1.62564E+12,2021/7/7 08:00,BTC/USDT,34710.4,34950,34670.06,34790,2009.622846,69943717.11,42449
1.62564E+12,2021/7/7 07:00,BTC/USDT,34724.93,34919.28,34474.71,34710.38,2881.070678,100145927.4,48136
1.62564E+12,2021/7/7 06:00,BTC/USDT,34809.72,34890,34640.99,34724.94,2793.4599,97083354.54,46187
1.62563E+12,2021/7/7 05:00,BTC/USDT,34704.43,34889.93,34580,34809.73,2748.505262,95540884.48,52252
1.62563E+12,2021/7/7 04:00,BTC/USDT,34445.55,34800,34373.02,34704.43,2705.99532,93642553.84,55966
1.62563E+12,2021/7/7 03:00,BTC/USDT,34277.83,34530,34150,34446.5,2786.554504,95766707.55,50968
1.62562E+12,2021/7/7 02:00,BTC/USDT,34233.21,34296.01,33995.31,34277.61,2625.510263,89471144.16,40349
1.62562E+12,2021/7/7 01:00,BTC/USDT,34162.44,34271.45,33970.62,34233.2,3794.755383,129300236.8,46990
1.62562E+12,2021/7/7 00:00,BTC/USDT,34220.02,34400,33941,34162.45,1894.462062,64771844.47,43735
1.62561E+12,2021/7/6 23:00,BTC/USDT,34013.95,34323.77,33959.56,34220.01,1459.835152,49844285.65,31108
1.62561E+12,2021/7/6 22:00,BTC/USDT,33763.1,34155,33683.18,34013.95,1297.965685,44100012.04,33763
1.62561E+12,2021/7/6 21:00,BTC/USDT,33953.78,33972.77,33628.81,33763.1,1620.122816,54821608.29,42212
1.6256E+12,2021/7/6 20:00,BTC/USDT,34019.99,34103.94,33840,33953.78,1067.970909,36263491.76,29837
