date,timestamp,metal,exchange,currency,price,prev_close_price,ch,chp
2021-07-17,1626514200000,XAU,LBMA,USD,1822.0,1822.0,0.0,0.0
2021-07-18,1626600600000,XAU,LBMA,USD,1822.0,1822.0,0.0,0.0
2021-07-19,1626687000000,XAU,LBMA,USD,1803.25,1822.0,-18.75,-1.0398
2021-07-20,1626773400000,XAU,LBMA,USD,1815.3,1803.25,12.05,0.6638
2021-07-21,1626859800000,XAU,LBMA,USD,1805.9,1815.3,-9.4,-0.5205
2021-07-22,1626946200000,XAU,LBMA,USD,1797.4,1805.9,-8.5,-0.4729
2021-07-23,1627032600000,XAU,LBMA,USD,1803.05,1797.4,5.65,0.3134
2021-07-24,1627119000000,XAU,LBMA,USD,1803.05,1803.05,0.0,0.0
2021-07-25,1627205400000,XAU,LBMA,USD,1803.05,1803.05,0.0,0.0
2021-07-26,1627291800000,XAU,LBMA,USD,1808.15,1803.05,5.1,0.2821
2021-07-27,1627378200000,XAU,LBMA,USD,1797.15,1808.15,-11.0,-0.6121
2021-07-28,1627464600000,XAU,LBMA,USD,1799.3,1797.15,2.15,0.1195
2021-07-29,1627551000000,XAU,LBMA,USD,1819.45,1799.3,20.15,1.1075
2021-07-30,1627637400000,XAU,LBMA,USD,1828.25,1819.45,8.8,0.4813
2021-07-31,1627723800000,XAU,LBMA,USD,1828.25,1828.25,0.0,0.0
2021-08-01,1627810200000,XAU,LBMA,USD,1828.25,1828.25,0.0,0.0
2021-08-02,1627896600000,XAU,LBMA,USD,1807.55,1828.25,-20.7,-1.1452
2021-08-03,1627983000000,XAU,LBMA,USD,1809.7,1807.55,2.15,0.1188
2021-08-04,1628069400000,XAU,LBMA,USD,1812.45,1809.7,2.75,0.1517
2021-08-05,1628155800000,XAU,LBMA,USD,1811.2,1812.45,-1.25,-0.069
2021-08-06,1628242200000,XAU,LBMA,USD,1799.45,1811.2,-11.75,-0.653
2021-08-07,1628328600000,XAU,LBMA,USD,1799.45,1799.45,0.0,0.0
2021-08-08,1628415000000,XAU,LBMA,USD,1799.45,1799.45,0.0,0.0
2021-08-09,1628501400000,XAU,LBMA,USD,1741.5,1799.45,-57.95,-3.3276
2021-08-10,1628587800000,XAU,LBMA,USD,1729.55,1741.5,-11.95,-0.6909
2021-08-11,1628674200000,XAU,LBMA,USD,1734.05,1729.55,4.5,0.2595
2021-08-12,1628760600000,XAU,LBMA,USD,1755.5,1734.05,21.45,1.2219
2021-08-13,1628847000000,XAU,LBMA,USD,1757.65,1755.5,2.15,0.1223
2021-08-14,1628933400000,XAU,LBMA,USD,1757.65,1757.65,0.0,0.0
2021-08-15,1629019800000,XAU,LBMA,USD,1757.65,1757.65,0.0,0.0
2021-08-16,1629106200000,XAU,LBMA,USD,1775.75,1757.65,18.1,1.0193
2021-08-17,1629192600000,XAU,LBMA,USD,1794.05,1775.75,18.3,1.02
