pubDateTime,title
2021-11-13 21:30:33,Kraken：比特幣價格今年底有望突破10萬美元
2021-11-13 17:30:35,比特幣預計將於24小時後進行Taproot軟分叉升級
2021-11-13 17:30:28,deVere Group CEO：比特幣牛市將至少持續至2022年Q2
2021-11-13 17:00:38,數據：餘額超0.01個BTC的比特幣地址創歷史新高
2021-11-13 17:00:12,比特幣預計將於 24 小時後進行 Taproot 軟分叉升級
2021-11-13 16:30:31,沙烏地阿拉伯公司Permianchain利用加拿大北部的廢棄能源進行比特幣挖礦
2021-11-13 14:30:26,數據：比特幣網路哈希率3個月來飆升42%
2021-11-13 13:01:14,加密旁氏騙局Finiko三名在逃聯合創始人疑似正在兌現，已從錢包轉移750枚比特幣
2021-11-13 12:16:34,比特幣Taproot軟分叉升級啟動 有望縮短與以太幣的應用差距
2021-11-13 09:30:11,美國證券交易委員會拒絕 VanEck 的現貨比特幣 ETF 申請
2021-11-13 09:01:22,距離比特幣Taproot升級還剩189個區塊
2021-11-13 03:30:42,美國SEC拒絕VanEck的現貨比特幣ETF申請
2021-11-13 03:30:41,埃隆馬斯克認為狗狗幣作為支付手段優於SHIB和比特幣
2021-11-13 02:39:01,SEC駁回VanEck比特幣ETF上市申請 稱防詐措施不到位
2021-11-13 02:00:57,J.C.Flowers創始人：比特幣是「可笑的」支付選項
2021-11-13 01:00:42,美國SEC駁回Vaneck的現貨比特幣ETF申請
2021-11-12 21:30:21,北美比特幣礦企Digihost將於11月15日在那斯達克上市
2021-11-12 21:30:18,北美比特幣礦企 Digihost 擬於 11 月 15 日在納斯達克上市，此前已在多倫多證券交易所創業板上市
2021-11-12 20:30:21,印度「比特幣騙局」主要被告聲稱曾兩次入侵Bitfinex交易所
2021-11-12 20:00:37,美國最大影院運營商 AMC 接受比特幣、以太坊、比特幣現金、萊特幣進行在線支付
2021-11-12 14:20:39,邁阿密市長：將向市民發放加密貨幣收益
2021-11-12 12:01:04,Michael Saylor：DeFi監管即將到來，比特幣是唯一投資級加密資產
2021-11-12 10:00:51,加拿大比特幣挖礦公司 Bitfarms 在華盛頓州購買了一座 24 兆瓦的水力發電站，預計將增加 620 PH/s 的挖礦算力
2021-11-12 09:02:52,媒體：比特幣今年預計耗電760億千瓦時，約是以太坊的3倍
2021-11-12 08:30:23,比特幣閃電網路節點數量突破3萬個 創歷史新高
2021-11-12 08:00:30,邁阿密市長：將向邁阿密幣持有者發放比特幣收益，該加密貨幣過去三個月幫該城市共賺取超 2100 萬美元
2021-11-12 06:30:16,瑞穗：直接投資比特幣可能比投資Coinbase股票更好
2021-11-12 05:43:01,〈美股盤後〉迪士尼拖累道瓊  AMD、Nvida領漲費半升近2%
2021-11-12 03:30:19,惠譽：薩爾瓦多銀行業目前不會因為比特幣成為法幣而面臨重大直接金融風險
2021-11-11 21:00:39,北美加密貨幣礦企Hut 8 Mining：持有比特幣數量約為5053枚
2021-11-11 20:00:17,Mode與PayScape將在英國進行比特幣薪資產品試點
2021-11-11 17:30:17,數據：距離比特幣Taproot升級還有428個區塊
2021-11-11 16:30:50,Kraken CEO：比特幣是價值儲蓄的最佳選擇
2021-11-11 15:30:41,CryptoQuant CEO：以太坊供應不再增加，像比特幣一樣是供應有限的稀缺資產
2021-11-11 14:30:23,美國連鎖餐廳蘭德里與 NYDIG 合作推出比特幣忠誠度計劃，食客可獲 10% 的比特幣消費獎勵
2021-11-11 14:01:01,美國餐飲巨頭Landry』s與NYDIG合作推出比特幣忠誠度獎勵計劃
2021-11-11 12:30:25,加密指數基金管理公司 Bitwise 撤回比特幣期貨 ETF 申請，繼續申請現貨比特幣 ETF
2021-11-11 10:00:12,Bitwise撤回比特幣期貨ETF申請，繼續申請現貨比特幣ETF
2021-11-11 08:30:35,一個有2207個比特幣的加密貨幣錢包在八年來首次活躍起來
2021-11-11 00:30:16,量化交易巨頭Citadel創始人：用比特幣進行支付是非常昂貴的
2021-11-10 23:30:52,比特幣礦池Foundry Digital推出數位貨幣質押業務
2021-11-10 23:30:45,拉美房地產技術公司 La Haus 與 OpenNode 合作，通過閃電網絡接受比特幣支付
2021-11-10 23:00:25,拉美地產科技公司La Haus接受以比特幣購買房產
2021-11-10 22:30:13,比特幣站上69000美元/枚，續創歷史新高
2021-11-10 22:30:11,比特幣盤中突破 6.9 萬 USDT 關口，再創歷史新高
2021-11-10 21:00:28,電子零售巨頭 MediaMarkt 遭勒索軟件攻擊，攻擊者索要比特幣形式支付的 5000 萬美元贖金
2021-11-10 20:30:21,Blockstream首席戰略官：比特幣挖礦是「無限可持續的」
2021-11-10 20:30:20,MediaMarkt遭勒索軟體攻擊，要求提供5000萬美元比特幣
2021-11-10 19:30:50,Coinbase Q3財報：以太坊交易量連續第第二季超越比特幣
2021-11-10 13:30:54,越來越多的犯罪分子將比特幣ATM列為目標
2021-11-10 08:38:25,〈美股熱門股〉PayPal第四季財測黯淡跌10% AMC營運逆風重挫11%
2021-11-10 08:00:49,USDT占比特幣交易比重約為56.14%
2021-11-10 07:30:34,灰度CEO：比特幣ETF「已成為政治問題」
2021-11-10 02:00:27,津巴布韋政府否認將採用比特幣作為法幣
2021-11-10 01:20:31,蘋果執行長庫克挺加密貨幣 不僅持有也感興趣
2021-11-09 23:00:20,澳洲比特幣礦商 Iris Energy 的 IPO 每股定價為 25 至 27 美元
2021-11-09 23:00:20,澳大利亞比特幣礦商 Iris Energy 的 IPO 每股定價爲 25 至 27 美元
2021-11-09 23:00:19,比特幣礦企 Compass Mining 爲零售挖礦客戶推出礦機二級轉售市場
2021-11-09 23:00:17,比特幣礦企 Compass Mining 為零售挖礦客戶推出礦機二級轉售市場
2021-11-09 19:36:21,〈美股盤前要聞〉美公債殖利率落至1.457% 美股期貨漲跌不一
2021-11-09 16:00:32,Square CEO：將幫助比特幣成為網路的本土貨幣
2021-11-09 15:30:23,Blockstream CEO：比特幣挖礦可能實際上幫助減少碳排放
2021-11-09 13:30:15,Fxstreet：比特幣資金流入主導了市場加密貨幣投資產品上周流入1.74億美元，連續第12周流入
2021-11-09 12:45:11,加密貨幣總市值首衝破3兆美元 板卡廠營運催馬力
2021-11-09 12:00:27,比特幣突破 6.8 萬 USDT 關口，再創歷史新高
2021-11-09 09:20:55,比特幣衝破6.7萬美元！攜以太幣創歷史新高
2021-11-09 08:01:05,USDT占比特幣交易比重約為51.1%
